user_id,gender,birthdate,registered_at
3,male,1986-11-12,2024-10-31 18:39:45
788667,female,2005-08-20,2024-10-31 18:40:17
788668,female,1999-12-19,2024-10-31 18:40:33
788669,female,2005-12-17,2024-10-31 18:42:14
788670,female,1967-08-16,2024-10-31 18:42:50
788671,male,1969-08-09,2024-10-31 18:44:51
788672,female,2005-02-15,2024-10-31 18:45:27
788673,male,1983-10-31,2024-10-31 18:46:07
788674,female,1984-12-08,2024-10-31 18:47:22
4,female,1990-02-06,2024-10-31 18:51:12
788676,female,1966-08-09,2024-10-31 18:53:22
788677,male,1968-08-04,2024-10-31 18:53:24
788678,female,1996-01-28,2024-10-31 18:54:47
788679,female,1984-12-17,2024-10-31 18:55:28
788680,female,1983-11-01,2024-10-31 18:56:19
788681,female,2004-02-02,2024-10-31 19:09:15
6,female,1974-10-18,2024-10-31 19:28:54
788683,female,1967-06-21,2024-10-31 19:36:45
788684,female,1970-12-24,2024-10-31 19:39:23
788685,male,2000-11-29,2024-10-31 19:39:43
788686,male,1990-11-18,2024-10-31 19:43:38
788687,male,1987-09-29,2024-10-31 19:46:43
788688,male,1972-01-03,2024-10-31 19:55:42
